# d7-05 — troubleshooting and optimisation: full ladder set (tier 2/3/4)
diagnosing-poor-output|7.1|2|An associate gets an answer that is accurate but far too formal for their audience.|State in the prompt who the audience actually is|Ask for the same answer written rather less formally|Rewrite the answer by hand into the right register|Add a note asking for the tone to be adjusted somewhat|Register follows from the reader, so naming the audience is what makes the model choose the level rather than be told it.|Asking for "less formal" gives a direction without a target, hand-rewriting fixes one answer, and a note about tone repeats the vagueness.
prompt-repair|7.1|2|A prompt asks for "a short summary" and the results vary from two lines to two pages.|State the length wanted in words or in sentences|Ask for a short summary in a more emphatic way|Cut anything over the intended length by hand|Run the prompt twice and take the shorter result|"Short" is relative and a number is not, so giving the length explicitly is what removes the variation.|Emphasis does not define a quantity, hand-trimming repairs each output, and picking the shorter of two still leaves both undefined.
efficiency-tuning|7.3|2|An associate repeats the same six-line preamble at the start of every conversation.|Move the preamble into the Project's instructions|Shorten the preamble so retyping it costs less|Keep a copy of the preamble to paste in each time|Ask the model to remember the preamble for later|Instructions apply automatically to every conversation in a Project, which is exactly what a repeated preamble is trying to achieve.|A shorter preamble is still retyped, pasting from a copy is the same manual step, and a request to remember does not persist across conversations.
refusals-and-limits|7.2|2|Claude declines a request and the associate believes the refusal is a misunderstanding.|Explain the actual purpose of the request and ask again|Repeat the request in exactly the same words again|Break the request into parts to get around it|Try a different phrasing until one is accepted|A refusal often reflects how the request read, and supplying the real context is what lets it be assessed properly.|An identical repeat gives nothing new, splitting a request to evade a refusal is circumvention, and rephrasing until it passes tests wording rather than legitimacy.
context-problems|7.1|2|An associate refers to "the document" and the model answers about a different one.|Name the specific document that is being referred to|Ask the model which document it actually used|Remove the other documents from the conversation|Repeat the question with more emphasis placed on it|An ambiguous reference is resolved by naming what is meant, which removes the guess entirely.|Asking which one it used diagnoses without fixing, removing documents loses material the work may need, and emphasis does not disambiguate.
consistency-issues|7.2|2|An associate runs the same prompt three times and gets three differently structured answers.|Specify the structure the answer should follow|Run it several times and pick the best structure|Accept it, since the content is the same each time|Ask for the structure to be kept more consistent|Structure that is not specified is left to the model, so stating it is what makes it repeatable.|Picking the best of several repeats the cost each time, equivalent content still costs the reader, and asking for consistency does not say consistent with what.
diagnosing-poor-output|7.1|2|An associate asks a broad question and gets a broad answer they then call unhelpful.|Ask the narrower question they actually wanted answered|Ask the same question and request more detail in it|Ask the same question with a longer answer requested|Ask several follow-up questions after the broad answer|A broad question is answered broadly, so narrowing the question is what narrows the answer.|More detail on a broad question broadens it further, length is not specificity, and follow-ups get there eventually at more cost.
prompt-repair|7.1|2|A prompt contains two instructions that pull against each other and the output satisfies neither.|Decide which instruction should win and say so|Restate both instructions more forcefully in the prompt|Put the more important instruction first in the prompt|Split the task into two separate prompts entirely|A conflict has to be resolved by the author, and stating the precedence is what tells the model how to resolve it.|Force does not settle a contradiction, ordering is a weak signal of priority, and splitting produces two outputs that still conflict.
efficiency-tuning|7.3|2|A team runs the same analysis on twenty documents and writes a fresh prompt each time.|Write one prompt and reuse it across the twenty|Combine all twenty documents into a single prompt|Write shorter prompts so each one costs less to write|Analyse only the documents most likely to matter|A repeated task wants one stable prompt applied twenty times, which also makes the twenty results comparable.|One combined prompt makes the documents compete, shorter prompts still vary between runs, and skipping documents changes the task.
diagnosing-poor-output|7.1|3|An answer is well written but omits a constraint the associate stated in the prompt.|Check where in the prompt the constraint appears|Restate the constraint at the end of the prompt|Ask the model to apply the constraint it missed|Add stronger emphasis to the constraint's wording|A constraint buried inside a long prompt competes with everything around it, so where it sits is the first thing to look at.|Moving it to the end without knowing the cause is a guess, a follow-up repairs one output, and emphasis is a fallback rather than a diagnosis.
context-problems|7.1|3|A model's answer contradicts a fact that was stated earlier in a long working session.|Restate the fact at the point where it is needed|Point out the contradiction and ask for a correction|Start again in a new conversation from scratch|Ask the model to check its own earlier statements|A fact that has drifted out of reach is restored by restating it where the work needs it, which is cheaper than starting over.|Flagging the contradiction fixes one answer, starting over discards useful work, and asking it to check what it can no longer see does not help.
consistency-issues|7.2|3|Two colleagues use the same Project and get answers with different levels of detail.|Compare their prompts before changing the Project|Add a detail-level instruction to the Project itself|Ask both of them to use identical wording every time|Accept it, since detail preference varies by person|Two people asking differently is the most likely cause, and comparing the prompts is what distinguishes that from a Project problem.|A Project-level instruction treats an unconfirmed cause, identical wording is impractical, and accepting it assumes the difference was intended.
refusals-and-limits|7.2|3|A model says it cannot verify a claim and the associate needs that claim checked.|Check the claim against a reliable source themselves|Ask the model again with the claim rephrased slightly|Ask the model how confident it is in the claim|Treat the claim as false since it was not verified|A statement that it cannot verify something is accurate information, and verification then belongs to a source the person can consult.|Rephrasing does not create access, a confidence score is another generated statement, and unverified is not the same as false.
efficiency-tuning|7.3|3|A team's prompt works well but takes three exchanges to reach a usable answer every time.|Fold what those exchanges add into the first prompt|Accept it, since three exchanges is not a large cost|Ask the model to skip straight to the final answer|Save the third answer and reuse it as a template|The exchanges are supplying information the first prompt omitted, and putting it there is what removes the round trips.|Repeated cost adds up across a team, asking it to skip ahead does not supply the missing information, and reusing an old answer stops it being about the new input.
prompt-repair|7.1|3|A prompt gives three examples and the output copies their subject matter rather than their form.|State explicitly what the examples are demonstrating|Replace the examples with ones on other subjects|Reduce the number of examples from three to one|Describe the desired form instead of showing it|Examples are ambiguous about which of their properties matter, and naming the property is what makes them read as form rather than content.|Varying the subjects can help but leaves the intent unstated, fewer examples weakens the pattern, and dropping examples loses their value.
diagnosing-poor-output|7.1|3|An output is right in substance but the associate cannot tell where its figures came from.|Ask for each figure to be tied to its own source|Ask for the answer to be produced again more carefully|Check every figure against the source documents|Ask whether the figures came from the attached files|Requiring each figure to name its source makes checking possible and shows immediately where a figure has no basis.|A more careful re-run does not add traceability, checking everything by hand is the cost the request avoids, and a yes-or-no question about provenance is not a trace.
context-problems|7.1|3|An associate attaches a spreadsheet and the model's numbers do not match what the file contains.|Check how the file was read before trusting the numbers|Ask the model to recalculate the figures more carefully|Retype the relevant numbers into the prompt directly|Convert the spreadsheet into a different file format|A mismatch between a file and the answer usually means the file was not read as expected, and confirming that comes before any recalculation.|Recalculating from a bad reading repeats the error, retyping works around the cause without finding it, and reformatting is a guess at the mechanism.
consistency-issues|7.2|4|A team wants identical output from identical prompts and finds small differences always remain.|Constrain what matters and accept variation elsewhere|Keep refining the prompt until the outputs match exactly|Accept the differences, since the meaning is unchanged|Post-process the outputs into a single fixed format|Generation is not deterministic, so the practical target is that the parts you depend on are fixed while the wording around them varies.|Chasing exact matching pursues something unavailable, blanket acceptance ignores fields that must be stable, and post-processing formats output without controlling its content.
prompt-repair|7.1|4|A prompt performs well on typical inputs and poorly on the unusual ones a team cares about.|Add the unusual cases to the prompt as examples|Rewrite the prompt around the unusual cases instead|Handle the unusual cases manually outside the prompt|Add an instruction to take extra care with edge cases|Examples of the hard cases show the model what they look like and how they should be handled, without giving up performance on the common ones.|Rewriting around the exceptions degrades the typical case, manual handling forgoes the automation, and an instruction to take care names no case.
efficiency-tuning|7.3|4|A team's prompt is long and detailed, and shortening it makes some of the outputs worse.|Cut the parts that no observed failure depended on|Keep it as it is, since every part earns its place|Cut it in half and accept the quality difference|Split it into a short version and a long version|Length is worth paying where it prevents a failure that actually occurs, so the parts to cut are the ones no observed failure needed.|Assuming every part earns its place forgoes the saving, arbitrary halving trades quality blindly, and two versions double the maintenance without deciding anything.
refusals-and-limits|7.2|4|A model gives a partial answer and says it cannot complete the rest of the request.|Take the partial answer and source the rest elsewhere|Rephrase the request until the whole thing is answered|Discard the partial answer as unreliable in its entirety|Ask it to complete the rest to the best of its ability|A stated limit is useful information, and combining what it could do with another source for the rest is the efficient response.|Rephrasing to defeat a limit tests wording rather than capability, discarding good work overreacts, and pressing for a best effort invites a fabricated completion.
diagnosing-poor-output|7.1|4|An associate cannot tell whether an output is wrong or whether they misunderstood the task.|Restate the task and check the output against it|Ask the model to explain what task it understood|Ask a colleague whether the output looks right|Rerun the prompt and compare the two outputs given|Writing down what the task actually requires is what makes it possible to say whether the output meets it.|A model's account of the task is another output, a colleague faces the same ambiguity, and a second run tests stability rather than fit.
context-problems|7.1|4|A Project answers well on recent documents and poorly on the older ones it also holds.|Check whether the older documents are still readable|Remove the older documents from the Project entirely|Add an instruction to weight older documents equally|Accept it, since recent documents matter more anyway|A systematic difference by document age often points at how those files were prepared, and checking their readability is what finds it.|Removing them assumes they are unwanted, an equal-weighting instruction cannot repair unreadable material, and accepting the pattern leaves real content unusable.
