# d6-01 — data sensitivity, privacy, confidentiality, consequential decisions
consequential-decisions|3|An HR manager proposes using Claude to screen job applications and produce a shortlist for interview.|Automated screening of people needs human accountability and a bias review before it is used|Applicant data being retained and used for training without candidates' consent|Consumption costs rising sharply as application volume peaks|The model's knowledge cutoff leaving it unaware of recent employment-law changes|Consequential automated decisions about individuals sit at the centre of this domain: they need an accountable person, a bias review and a route to recourse.|On commercial plans data is not used for training by default, so that is a policy point to confirm rather than the headline risk. Cost is a budget issue, and the cutoff applies to any use.
data-sensitivity|3|An associate wants to paste a customer list including names and account numbers into Claude to reformat it.|Remove or replace the identifying fields, since reformatting does not require real identifiers|Paste it, since the task is internal and the output will not be shared externally|Paste it and delete the conversation afterwards|Ask Claude not to retain the information|Data minimisation is the control: a reformatting task needs the structure, not the identities. Substituting placeholders achieves the task without the disclosure.|Internal use does not exempt personal data from handling rules. Deleting afterwards does not undo the disclosure, and instructions do not govern retention.
privacy-regulation|3|A team wants to analyse customer complaints that contain personal details, and the organisation operates under data protection law.|Establish the lawful basis and what the privacy notice already told customers before doing anything|Anonymise the complaints and then proceed|Proceed, since analysing complaints improves service for those same customers|Ask the legal team to review the analysis once it has been produced|Processing personal data needs a lawful basis and has to be consistent with what people were told. That determines what is permitted before any technical choice.|Anonymisation may be the right control but only once the basis is established. Beneficial purpose is not a lawful basis, and post-hoc legal review follows the processing.
confidentiality|3|A consultant wants to use one client's material as an example when working on another client's problem.|Treat the material as covered by the first client's confidentiality unless it is genuinely public|Use it since the two clients are not competitors|Use it with the client's name taken out|Ask Claude to generalise the example so it no longer resembles the original client's situation|Client material is confidential regardless of who else sees the output. Whether it is genuinely public is what determines if it can be reused at all.|Non-competition does not release a confidentiality obligation. Name removal and generalisation both still derive from confidential material.
accountability|3|A team publishes a report drafted with Claude that contains an error, and a customer asks who is responsible.|The people who produced and approved the report, since accountability does not transfer to a tool|Claude, since the error originated in the generated text|Nobody in particular, since the error was not deliberate|The reviewer alone, since their role was to catch exactly this kind of problem|Accountability attaches to the people who chose to use the tool and approved the output. It cannot be delegated to software.|Attributing responsibility to the tool is the misconception being tested. Diffusing it or narrowing it to one reviewer both misplace where the obligation sits.
disclosure-transparency|3|A team uses Claude to draft responses that are sent to customers under an employee's name.|Establish what the organisation's policy requires be disclosed, and follow it|Disclose it in every single message|Never disclose it, since the employee reviews and sends each message personally|Disclose it only when a customer asks whether a message was written by a person|Whether and how to disclose is a policy question with legal and reputational dimensions. Establishing the organisation's position is what makes the practice defensible.|Blanket rules in either direction pre-empt a policy decision. Disclosing only on request treats a standing question as reactive.
bias-fairness|3|A team uses Claude to summarise performance reviews, and notices the summaries describe men and women differently.|Investigate whether the difference originates in the reviews or in the summarisation|Instruct the model to use neutral language in the summaries|Remove the names before summarising them|Accept the difference, since the summaries reflect what the original reviews actually said about each person|A difference in output could come from the source reviews or be introduced during summarisation, and the response differs completely depending on which. Investigating is the first step.|Neutral language and name removal both treat the symptom before the cause is known. Assuming the source is faithful skips the investigation.
acceptable-use|3|An associate is asked to use Claude for something they suspect breaches the organisation's acceptable use policy.|Check the policy and raise it before proceeding|Proceed, since the request came from someone more senior|Proceed but keep a record of who asked|Ask Claude whether the use would be acceptable under a typical acceptable use policy|A suspected policy breach is checked against the policy and raised. Seniority of the requester does not change what the policy permits.|Following instructions does not transfer responsibility. A record documents rather than prevents, and the model cannot interpret your organisation's policy.
ip-and-attribution|3|A team wants to know whether they can use Claude-generated marketing copy commercially.|Check the terms that apply to their plan, since that is what governs the position|Assume they can, since the output was generated for them|Assume they cannot, since generated content has uncertain ownership|Ask Claude who owns the output it produces|Rights in generated output are set by the terms of the plan being used. Reading them is what answers the question authoritatively.|Both assumptions guess at a documented position. Asking the model produces an unreliable account of a contractual matter.
data-sensitivity|3|A team wants to upload a spreadsheet for analysis, and three of its forty columns contain personal data the analysis does not use.|Remove the three columns before uploading, since the analysis does not need them|Upload it and instruct the model to ignore those columns|Upload it and delete it again afterwards|Upload it, since the analysis is legitimate and the personal data is incidental to the purpose|Sending only what the task needs is the structural control. Columns that are never transmitted cannot be misused, which no instruction guarantees.|An ignore instruction does not prevent transmission. Deletion afterwards does not undo it, and incidental inclusion is still disclosure.
