# d2-07 — output evaluation: provenance, comparability and reviewer effects
numerical-accuracy|2|An output converts costs between currencies without stating the rate that it used.|Ask which exchange rate was applied, and when|Accept the figures, since the conversion looks right|Convert one figure yourself to check the others|Ask for the figures in the original currency only|A conversion depends entirely on the rate and its date, and without those the figures cannot be reproduced or checked.|Appearance is not verification, spot-checking one figure does not reveal the rate, and dropping the conversion abandons what was asked for.
verifying-facts|2|An associate needs to check a claim and their team has nobody with that expertise.|Find an external source rather than judging it internally|Accept the claim, since nobody can dispute it here|Ask the most senior person to make a judgement|Ask Claude to explain the claim in simpler terms|Absence of internal expertise is a reason to go outside, not a reason to lower the standard of checking.|Undisputed is not verified, seniority is not subject knowledge, and a clearer explanation is still an unverified one.
hallucination-detection|2|An output gives a precise statistic with no source and no date attached to it.|Treat the precision as no evidence of accuracy|Accept it, since precise figures are rarely invented|Round it, since the precision may be overstated|Ask for the same statistic a second time to confirm|Fabricated figures are produced with the same precision as real ones, so the decimal places carry no information about truth.|Precision is a stylistic feature, rounding an unsourced figure keeps it unsourced, and a repeat is not independent.
bias-and-framing|2|A summary of a debate gives more space to the side the prompt mentioned first.|Check whether the space matches the actual balance|Accept it, since the first side may have more to say|Ask for the two sides to be given equal space|Reverse the order and use the second summary instead|Space in a summary should follow the material rather than the order of the prompt, and comparing the two is what tests it.|The imbalance may be real or positional, forcing equal space misrepresents an unequal debate, and swapping produces a second untested output.
quality-criteria|2|A team wants one single number that represents the quality of their output.|No single number captures more than one dimension|Use accuracy, since it is the most important one|Combine the dimensions into one weighted score|Use whichever number stakeholders find clearest|Quality has several dimensions that move independently, so one number necessarily hides the trade-offs between them.|Elevating accuracy discards the rest, a weighted score buries the weights inside it, and clarity to stakeholders is not validity.
review-workflow|2|A team's reviewer checks accuracy, tone, compliance and formatting all in one pass.|Separate the checks, since they need different attention|Keep one pass, since it is faster for the reviewer|Keep one pass and give the reviewer a checklist|Keep one pass and lengthen the time allowed for it|Scanning for form and verifying substance are different activities, and one pass over four reliably does the easiest of them.|Speed is the cost being paid, a checklist orders the work without separating the modes, and more time does not change the interference.
completeness-gaps|2|An answer lists what a change will cost and does not list what it will save.|Ask for the savings as well as the costs involved|Accept it, since the costs were what was asked for|Estimate the savings yourself from the cost figures|Ask for a more complete answer about the change|A one-sided answer to a two-sided question is completed by asking for the missing side directly rather than indirectly.|Literal compliance produces a misleading picture, savings cannot be derived from costs, and a vague completeness request does not name what is missing.
source-attribution|2|A team needs to show a regulator where a figure in their submission came from.|Name the document and location the figure came from|Say the figure was produced with Claude's assistance|Say the figure was checked before it was submitted|Provide the conversation in which the figure appeared|Provenance means the underlying source, since that is what a regulator can independently go and examine.|Naming the tool describes production, a checking assertion is not a source, and a conversation shows generation rather than origin.
sampling-and-evidence|2|A team reports that their prompt is 90% accurate, based on twenty test cases.|Report the figure with the sample size alongside it|Report 90%, since that is what the test produced|Round it to "about 90%" to avoid false precision|Test more cases before reporting any figure at all|Twenty cases give a wide range around ninety per cent, and stating the sample size is what lets a reader judge the figure.|A bare percentage implies more certainty than twenty cases give, rounding is cosmetic, and withholding it discards real information.
self-evaluation-limits|2|An associate asks Claude to identify the weakest part of its own analysis.|Treat the answer as a hint rather than a finding|Treat the identified part as the only weak point|Treat everything else as sound by implication|Ignore it, since self-criticism carries no weight|A self-identified weakness may well be real and is certainly not exhaustive, which makes it a place to start looking.|Treating it as the only weakness is the error, inferring soundness elsewhere is worse, and dismissing it wastes a usable pointer.
numerical-accuracy|2|A table's rows are each correct and the column totals do not add up properly.|Recompute the totals from the rows that are shown|Trust the totals, since the rows are all correct|Trust the rows and remove the totals entirely|Ask for the table to be regenerated from scratch|Rows and totals are separately produced, so a mismatch is resolved by doing the arithmetic rather than by choosing a side.|Correct rows do not validate totals, deleting the totals loses information, and regenerating may simply reproduce the error.
verifying-facts|2|An associate checks a Claude figure by asking Claude the very same question again.|Not a check, since both answers share one source|A valid check, since two answers agreeing is evidence|A valid check if the question is worded differently|Not a check, but useful for testing consistency|Two answers from the same system are not independent, so agreement between them says nothing about correctness.|Agreement between dependent sources is not evidence, rewording does not create independence, and consistency is a different property being confused with truth.
