# d4-05 — workflow integration: design decisions, ladder set (tier 2/3/4)
process-mapping|4.1|2|A team is about to add Claude to a process and is deciding what they should do first.|Write down how the process actually runs today|Identify which steps Claude is best suited to|Ask the team which steps they find most tedious|Pilot Claude on one step and see what happens|You cannot tell what a change did without a description of what was there before, and that description also shows where the change belongs.|Picking steps by suitability skips which steps matter, tedium is not the same as cost, and a pilot with no baseline produces no comparison.
human-in-the-loop|4.4|2|A team is designing a workflow and asks where the human checkpoint should sit in it.|Before the point where the output has an effect|At the end of the workflow, after every step has run|At the start, so the input is checked before processing|At whichever step the team has capacity to staff|A checkpoint exists to stop a bad output doing damage, so it belongs at the last moment before the output acts on anything.|The end of the workflow may already be past the point of effect, input checking catches different problems, and capacity determines staffing rather than placement.
failure-modes|4.4|2|A team is asked what should happen when their workflow receives an input it cannot handle.|Stop and tell someone, rather than produce a result|Produce the best result it can from what it received|Skip the input and carry on with the remaining ones|Retry the input until it eventually goes through|An input the workflow cannot handle has no correct output, so the safe behaviour is to halt visibly and let a person deal with it.|A best effort on bad input is exactly the plausible-but-wrong failure, silent skipping loses work unnoticed, and retrying a structurally bad input never succeeds.
measuring-value|4.2|2|A team wants to show that their Claude workflow was worth the effort of building.|Compare the outcome it targets before and after|Report how many items the workflow has processed|Report how many people on the team now use it|Report how much time the team believes it saves|Value is a change in the thing the workflow was meant to improve, and that requires a before and an after.|Volume measures activity, adoption measures uptake, and a believed saving is an impression rather than a measurement.
tool-integration|4.4|2|An associate is connecting Claude to a system and asks what data should be sent to it.|Only the fields the task itself actually requires|Everything the system holds, so nothing is missing|Everything except the fields marked as confidential|Whatever the system returns in its default response|Sending only what the task requires limits both the exposure and the material the model has to work through.|Sending everything maximises both, excluding only marked fields leaves unmarked sensitive data, and a default response is not a decision about what is needed.
repeatability|4.3|2|A team wants their monthly workflow to give the same answer if it is rerun next year.|Record the prompt, the inputs and the settings used|Record the output so it can be compared later on|Ask the same person to run it again next year|Write down the date on which the workflow was last run|A run is reproducible when everything that determined it has been captured, which is the prompt, what went in, and how it was configured.|The output is the thing being reproduced, the same person cannot recall the settings, and a date records when rather than how.
team-adoption|4.5|2|A team lead wants to know why a carefully built workflow is not being used by anyone.|Ask the people who are not using it what stops them|Improve the workflow further before promoting it again|Make the workflow mandatory for the affected task|Send a reminder explaining the benefits once more|The reason for non-adoption sits with the non-adopters, and asking them is the only way to find out what it is.|Improving it assumes quality is the barrier, mandating it forces use without removing the barrier, and a reminder repeats a message that has already failed.
handoffs|4.4|2|A workflow passes Claude's output to a colleague who does not know what was asked for.|Pass the original request along with the output|Ask the colleague to request context when they need it|Add a note to the output describing its general purpose|Have the colleague run the workflow themselves instead|A handoff works when the receiver has what they need to judge the work, and the request is what makes the output interpretable.|Asking on demand adds a round trip each time, a general note is not the specific request, and moving the work is a bigger change than the gap requires.
automation-boundaries|4.4|2|A team asks which steps of a process are the safest ones to automate first.|Steps whose output is checked further down anyway|Steps that take the longest for people to perform|Steps that the team finds the least interesting|Steps that involve the fewest people in the team|A step whose result is verified downstream has a natural safety net, which makes it the cheapest place to be wrong while learning.|Duration, tedium and headcount all describe the cost of doing the step rather than the cost of getting it wrong.
process-mapping|4.1|2|An associate maps a process and finds two separate steps producing the same information.|Find out why both exist before removing either one|Remove the later of the two duplicated steps found|Remove whichever of the two takes longer to perform|Keep both, since duplication provides a cross-check|Apparent duplication often turns out to serve two different purposes, and finding out which is what makes removal safe.|Position and duration are arbitrary grounds for choosing, and assuming a deliberate cross-check is the same guess in the opposite direction.
failure-modes|4.4|2|A team asks how they would know if their workflow had started to fail quietly.|Decide now what a failure would actually look like|Wait for someone downstream to report a problem|Check the outputs whenever there is spare capacity|Assume the workflow is failing if usage drops off|You can only detect a failure you have described, and describing it in advance is what makes monitoring possible.|Downstream reports arrive after the damage, spare-capacity checking is not a schedule, and usage is not a quality signal.
measuring-value|4.2|2|A team is asked whether their workflow saves money, and what it actually saves is time.|Say what the saved time is now being spent on|Convert the saved hours into a monetary figure|Report the time saving without any further comment|Say that the workflow does not save money at all|Saved time only becomes value when it goes somewhere, so what it is now used for is the answer to the question actually asked.|A monetary conversion asserts a saving that may not have been realised, an unqualified time figure leaves the question unanswered, and a flat denial ignores real value.
tool-integration|4.4|2|An associate's integration works and they are asked what happens when the model responds slowly.|Decide how long to wait and what to do after that|Wait as long as it takes for a response to arrive|Retry the request immediately if it feels too slow|Treat any slowness as a failure and stop the workflow|A defined timeout with a defined action is what stops a slow response becoming a stuck workflow.|Waiting indefinitely blocks everything behind it, immediate retries multiply the load, and treating any delay as failure discards work that would have completed.
automation-boundaries|4.4|3|A team can automate a step that is currently the only training opportunity for new joiners.|Automate it and build the training in somewhere else|Automate it, since training is not the step's purpose|Leave it manual so new joiners keep learning from it|Automate it only once new joiners have done it once|The training value is real and separable, so the step can be automated as long as what it taught is deliberately replaced.|Dismissing training ignores a genuine cost, keeping the step preserves the training by paying for it forever, and one exposure does not replicate repeated practice.
handoffs|4.4|3|A workflow hands work to a team who consistently return it asking for the same missing detail.|Add the missing detail to what the workflow produces|Ask the receiving team to be more specific in requests|Have the sending team add the detail on each return|Meet with the receiving team to agree ways of working|A repeated request is a specification the handoff is missing, and putting it into the output fixes every future instance.|The receiving team has been specific enough to name it, adding it on return repeats the work, and a meeting discusses a fix that is already known.
repeatability|4.3|3|A team's workflow produces slightly different formatting each run and downstream automation breaks.|Fix the format at the point the output is consumed|Add a stronger formatting instruction to the prompt|Ask the downstream system to accept the variations|Have a person tidy the output before it is passed on|Generated text will vary, so a deterministic step that shapes it into the required format is what makes the downstream contract reliable.|A stronger instruction reduces variation without eliminating it, changing the consumer moves the problem, and manual tidying puts a person into an automated path.
team-adoption|4.5|3|A workflow is used by the team that built it and ignored by the two teams it was built for.|Find out what those two teams' work actually needs|Run training sessions for the two other teams|Have the building team run the workflow for them|Ask leadership to require the two teams to adopt it|A workflow built for someone else without their input usually misses their actual task, and finding out is what makes it adoptable.|Training teaches a tool that may not fit, running it for them removes their agency and scales badly, and a mandate produces compliance rather than use.
human-in-the-loop|4.4|3|A team's reviewer approves 99% of outputs and the team wonders whether the step is worth keeping.|Find out whether the 1% would have caused real harm|Remove the step, since almost everything is approved|Keep the step, since it is evidently catching something|Reduce the review to a sample of the outputs instead|The value of a checkpoint is what it prevents rather than how often it fires, so the caught cases are what decide whether to keep it.|A low rejection rate can mean the check is working, "catching something" does not say whether it matters, and sampling changes the depth before the value is known.
failure-modes|4.4|3|A team's workflow has an error path that has never once run in eighteen months of use.|Test it deliberately, since it has never been exercised|Remove it, since eighteen months suggests it is unused|Leave it, since it will work when it is finally needed|Rewrite it to handle a wider range of failures|Untested behaviour is untested regardless of how long it has sat there, and the first real failure is a bad time to find out.|Absence of firing is not evidence it is unnecessary, assuming it works is the risk itself, and widening its scope adds more untested behaviour.
process-mapping|4.1|3|A team finds one step whose owner has left and whose purpose nobody can now explain.|Find out what depends on its output before touching it|Remove it, since nobody can explain why it exists|Keep it, since removing it might break something|Automate it as it stands so it costs less to run|A step's purpose shows in what consumes its output, and tracing that is what turns an unknown into a decision.|Removing an unexplained step is how outages happen, keeping it forever institutionalises the unknown, and automating it preserves it without understanding it.
