# d1-m1 — Prompting and Task Execution, multiple-response
# Targets official objective 1.4 (adapt prompting strategy by task type), previously uncovered.
task-type-strategy|2|2|An associate is brainstorming options and keeps getting three polished recommendations instead.|Ask for breadth first and narrow down afterwards|Say that the task is divergent rather than a decision|Ask the same question again with more emphasis on ideas|Accept the three, since they are well reasoned options|Ask for more detail on each of the three it produced|Brainstorming wants range before judgement, so the fix is to say the task is divergent and ask for breadth before any narrowing happens.|Emphasis does not change the task type, accepting three loses the breadth entirely, and more detail deepens a convergent answer rather than widening it.
task-type-strategy|2|2|An associate is drafting a document and an analysis prompt style is producing the wrong shape of output.|Drafting wants a voice, an audience and a format|Analysis wants criteria and evidence rather than voice|The two task types call for the same prompt structure|Drafting always needs more context than analysis does|Analysis is simply a more difficult form of drafting|Different task types need different things stated: a draft needs audience and register, an analysis needs criteria and evidence.|The two are not interchangeable, context volume is not the distinction, and neither one is a harder version of the other.
task-type-strategy|3|3|A team is using Claude for research and wants prompts that suit that task type specifically.|Say what question the research has to actually answer|Ask for sources to be named against each claim|State what would count as a sufficient answer|Ask for the most comprehensive answer possible|Ask for a confident conclusion rather than caveats|Research prompts need a question, traceable sources and a stopping condition, because those are what make the result both checkable and finite.|Comprehensiveness without a question produces volume, and demanding confidence suppresses the uncertainty that research is supposed to surface.
task-type-strategy|4|2|An associate uses one prompt template for analysis, drafting and brainstorming alike.|Expect it to serve one of the three well at best|Adapt the structure to what each task type needs|Keep it, since one template is easier to maintain|Lengthen it until it covers all three task types|Use it for analysis only, since that is the hardest|A single template encodes one task's requirements, so it will fit one type and quietly misfit the others, which is why the structure has to follow the task.|Maintenance convenience is bought with output quality, a longer template dilutes every case, and difficulty is not what distinguishes the types.
clear-instructions|2|2|An associate's prompt says to "keep it brief" and the answers now omit things the team needs.|Say what every answer must always include in it|Replace the vague direction with a concrete one|Add emphasis so the instruction is taken seriously|Ask for brevity twice so the point is not missed|Accept the omissions as the cost of being brief|A minimising instruction with nothing to protect will cut whatever it likes, so naming the required content gives it something it must keep.|Emphasis and repetition restate the same vague direction, and accepting omissions gives up the content the team actually needs.
clear-instructions|3|2|A prompt tells the model several things not to do and the output still does one of them.|State what to do instead of each prohibition given|A prohibition leaves the alternative unspecified|Repeat the prohibitions at the end of the prompt|Make the prohibitions considerably more forceful|Remove them, since prohibitions never work at all|Negative instructions describe a space to avoid without naming a target, so replacing them with positive directions gives the model something to aim at.|Repetition and force restate the same negative, and abandoning prohibitions entirely overstates the point.
constraints-scope|2|2|A team wants an answer bounded to a specific scope and keeps getting broader ones.|State the boundary explicitly in the prompt itself|Say what is out of scope as well as what is in|Ask for a shorter answer so that less can stray|Keep asking until a suitably narrow answer arrives|Accept the breadth and edit it down afterwards|A scope that is not stated is inferred, so naming both what is included and what is excluded is what makes the boundary hold.|Length is not scope, repeated asking relies on chance, and editing afterwards repeats the work every time.
constraints-scope|4|2|A team's prompt has accumulated constraints over months and the output has become rigid.|Check which constraints still prevent a real failure|Remove the ones no observed failure depends on|Keep them all, since each was added for a reason|Remove the oldest ones, since they are least relevant|Accept the rigidity as the price of reliability|Constraints accumulate against failures that may no longer occur, so the test is which ones still earn their cost rather than how old they are.|Historic justification is not current need, age is not a measure of usefulness, and accepting rigidity forgoes a fixable problem.
context-and-role|3|2|An associate gives Claude a senior role and the answers become more assured than the evidence supports.|A role shapes register rather than actual knowledge|Drop the role if it is adding confidence, not accuracy|Keep it and add an instruction to be more cautious|Give it a more junior role to lower the confidence|Keep it, since the framing improves readability|A role changes tone without changing what is known, so an unearned confidence is a reason to remove it rather than to counterbalance it.|A caution instruction fights the role instead of removing it, a junior title is the same mechanism dialled down, and readability is not the issue.
document-grounding|2|2|A team wants answers grounded in a document rather than in general knowledge.|Supply the document alongside the question itself|Say that the answer must come from that document|Name the document and expect it to be found somehow|Ask the model to recall what the document says|Assume general knowledge will be close enough|Grounding requires both the text being present and an instruction that the answer must come from it, since either one alone leaves the model free to fall back.|Naming a document does not supply it, recall is not access, and general knowledge is exactly what grounding is meant to exclude.
document-grounding|4|2|An associate's grounded prompt produces an answer citing something the document does not contain.|Check whether the document was read as expected|Treat the claim as ungrounded until it is located|Assume the model paraphrased it somewhat loosely|Ask the model to point at the relevant passage again|Accept it, since the rest of the answer is accurate|A claim that is not in the source is either a reading failure or a fabrication, so the document itself is what settles which before anything is relied on.|Assuming a loose paraphrase is charitable rather than evidenced, asking again produces another output, and partial accuracy does not license the rest.
