# d1-05 — prompting: foundations through to subtle cases (tier ladder)
clear-instructions|1.1|2|A team asks Claude to "write something about the new policy" and receives a general essay rather than the staff announcement they needed.|Name the artefact wanted, its audience, and the length, since none of those were stated anywhere|Ask for a better version of the same request in a follow-up message once the first draft has arrived|Provide the full policy document as additional context|Ask for three variations and pick whichever one fits|Naming the artefact, audience and length converts an open topic into a specific commission. Without those, the model picks a plausible default.|More source material and more variations both scale a request that was never scoped. A vague follow-up repeats the original ambiguity.
clear-instructions|1.1|2|An associate asks for "a short summary" of a report and gets four paragraphs, which is longer than they wanted.|State the length as a number of words or sentences rather than as a relative word|Ask for something shorter than the version just produced|Explain that the reader is busy and has little time|Request bullet points instead of continuous prose so the length is easier to control|Short is relative and the model has no anchor for yours. A number is checkable by both sides, which is what makes it a constraint.|Relative cues, busyness signals and format changes all leave the actual length undefined.
context-and-role|1.1|2|A team asks Claude to explain a technical process and the explanation assumes knowledge the readers do not have.|Say what the readers already know and what they do not before asking|Ask for a simpler explanation in a follow-up request|Ask for every technical term to be defined the first time it is used|Request an explanation aimed at a general audience|Stating the knowledge boundary lets the model pitch correctly first time rather than converging through rounds of simplification.|Iterating to simplicity is slow and can overshoot. Inline definitions and "general audience" both leave the starting point unspecified.
output-format|1.1|3|A team needs Claude's output to feed a downstream tool that expects exactly three named fields, and roughly one response in eight adds a fourth.|Specify the three fields exactly and validate every response before the tool consumes it|Instruct the model more firmly that only the three named fields are permitted in any output|Ask for the extra field to be placed last so it can be stripped|Reduce the response length so there is less room for additions|Instruction plus validation is the durable pattern for machine-consumed output. Wording lowers the rate; the check handles what still gets through.|Firmer wording chases an asymptote. Repositioning and shortening both accept the extra field rather than protecting the consumer.
examples-fewshot|1.3|3|An associate gives Claude four examples of the summaries they want. All four summarise good news, and the model now softens summaries of bad news too.|The examples shared a situation as well as a style, so the model copied both|Four examples is too few for the pattern to be learned reliably|The examples were too long, so their content outweighed the form they were meant to teach|Tone cannot be taught by example and must be described explicitly|Examples teach whatever they have in common. When every example shares a situation, the model cannot tell which feature you meant.|The count is not the defect and tone is very teachable by example. Length is unrelated to the wrong generalisation being made here.
task-decomposition|1.2|3|A team asks Claude to read forty supplier responses and rank them, and the ranking clearly favours the responses that appeared earliest.|Extract each response's key points first, then rank across the extracted set|Ask for the ranking again with an instruction to weight all forty responses equally|Reverse the order of the responses and run the ranking a second time|Ask for more detail in the ranking so later entries are covered|Two-stage analysis puts every source on equal footing, because the ranking then works on a uniform extract rather than forty documents competing for attention.|An equal-weighting instruction states the goal without a mechanism. Reversing reveals the bias, and more detail does not rebalance it.
constraints-scope|1.1|3|A team tells Claude the summary must fit on one page and it complies by dropping the recommendations section entirely.|Say what must be included as well as the size limit, since a limit alone only constrains length|Ask for a slightly longer summary so the recommendations section survives the cut this time|Ask Claude to list what it removed so the loss can be reviewed|Request the recommendations as a separate second document|A size limit is a container, not its contents. Naming what must survive is what prevents the model choosing which section to sacrifice.|Loosening the limit invites the same choice at a larger size. A removals list arrives after the loss, and splitting is a workaround.
document-grounding|1.1|3|An associate uploads a handbook and asks a question. The answer is right but blends the handbook with general practice, and the two are indistinguishable.|Ask which claims came from the handbook and which did not, so each can be handled properly|Instruct the model to answer only from the handbook and run the whole question again|Assume the answer came from the handbook since it was supplied as context|Ask for a citation to be attached to each claim in the answer|Asking for the split makes the boundary visible while preserving the answer you already have, and each part then gets the verification it needs.|A rerun discards the broader answer. Assuming provenance is the error, and retrofitted citations may be attached to claims that did not come from the source.
iteration-refinement|1.3|4|A team has revised a document with Claude eleven times. Each round fixes the stated problem and quietly reintroduces something settled three rounds earlier.|Carry a written list of settled requirements into every round rather than relying on the thread|Start a fresh conversation containing every requirement the team has gathered so far|Ask Claude to remember the earlier corrections and not repeat them|Accept the current draft and repair the recurring issue by hand|Constraints established conversationally compete for attention as a thread grows. Restating them explicitly is what keeps a settled decision settled.|Asking the model to remember relies on the same fading attention that caused the regression. A restart discards progress and manual repair leaves the process broken.
clear-instructions|1.1|3|An associate asks Claude to "tighten" a paragraph and it removes a qualifying clause that the legal team had specifically added.|Mark the clauses that must survive before asking for any edit to the text|Ask for a lighter edit so fewer changes are made to the paragraph|Ask Claude to list its changes so unwanted ones can be reverted|Ask for the tightened version alongside the original so the two can be compared|Editing is deletion, and anything load-bearing has to be marked or it competes with brevity. Marking is the instruction that protects it.|A lighter edit reduces the rate without protecting the specific clause. Change logs and side-by-side output both catch the loss after it happens.
