# d6-m1 — Governance, Risk, and Responsible Use, multiple-response
data-sensitivity|2|2|A team is deciding what makes a dataset warrant extra care before being used with Claude.|What harm its exposure would cause to real people|Whether it identifies individuals in combination|Which internal system it happens to be stored in|How large the dataset is to review through in full|Whether the team has used it with a tool before|Sensitivity is defined by the consequence of exposure and by whether individuals can be picked out, which is what makes it useful for deciding handling.|Storage location is a proxy that misses sensitive data held elsewhere, volume is a practical concern, and novelty is not a risk property.
data-sensitivity|3|2|An associate must share a document with Claude and one section of it is sensitive.|Send only the sections the task actually requires|Ask whether the sensitive part is needed at all|Send the whole document with that section redacted|Send a summary of the document rather than the file|Send the whole document, since the task concerns it all|Minimisation asks what the task needs and sends only that, which removes the exposure rather than trying to obscure it.|Redaction still transmits the surrounding material and can be incomplete, a summary loses the detail, and whole-document sending processes more than required.
data-sensitivity|4|2|A team holds survey responses gathered for one study and wants them for a different question.|Check whether the original basis covers this new use|Recognise possession as separate from permission|Reuse it, since the organisation already holds the data|Reuse it with the personal identifiers stripped out|Collect the data again for the second analysis|Data collected for one purpose is not automatically available for another, so the collection basis is what determines whether the new use sits inside it.|Possession is not permission, stripping identifiers does not answer the purpose question, and re-collecting is disproportionate before the basis is checked.
privacy-regulation|2|2|An associate is handed a customer list and asked to have Claude find patterns in it.|Ask whether the personal data is needed for the task|Use the minimum personal data the task requires|Paste it, since the task cannot be done without it|Paste it once the customers have been notified after|Paste it with the addresses removed but names kept|Data minimisation asks first whether personal data is needed at all, and then limits what is used to the minimum, because the safest handling is not to process it.|Necessity is the thing being assumed, notification afterwards does not authorise it, and half the identifiers is still personal data.
privacy-regulation|3|2|A team wants to mine a year of recorded calls for the issues customers raise most often.|Strip the identifying details before analysing them|Recognise that the analysis needs content, not identities|Use them as they are, since the analysis is about complaints|Use only the transcripts from customers who consented|Ask every customer for permission before any analysis|The purpose requires complaint content rather than identity, so removing what the analysis does not need is what makes the processing proportionate.|Analysing identified transcripts processes more than needed, consent-only selection biases the sample, and blanket permission-seeking is disproportionate once identifiers are gone.
privacy-regulation|4|2|A customer exercises their right to erasure and their details appear in several old chats.|Delete the conversations along with the other copies|Recognise the request as covering data wherever it is held|Delete the primary records, since conversations are notes|Keep the conversations, since they document the work done|Keep them but annotate that deletion was requested|A deletion request reaches the personal data wherever it sits, and a conversation containing it is one of the places it is held.|A working-notes distinction has no basis in the request, a work record is not an exemption, and annotating leaves the data in place.
acceptable-use|2|2|An associate is asked to produce content that will be presented as a genuine customer testimonial.|Decline, since it would misrepresent its own source|Offer copy that describes the product without the false attribution|Write it but label it as assistant-generated on the page|Write it and have a customer approve the wording later|Write it as a composite drawn from several real comments|A testimonial asserts that a named customer said something, so the honest move is to decline the false attribution while still doing the legitimate copywriting.|A generated label on a listing review still presents it as a review, retrospective approval does not make the words theirs, and a composite misrepresents it as one person.
acceptable-use|3|2|A colleague's question is entirely reasonable and happens to be phrased like a probing one.|Answer the legitimate reading, which is the plain one|Recognise resemblance as not being the same as intent|Refuse, since the wording resembles a restricted request|Answer but omit whatever seemed most sensitive|Ask the user to rephrase before answering anything|Resemblance is not intent, and where the legitimate reading is the plain one it is the reading that should be answered.|Refusing on resemblance denies ordinary help, arbitrary omission produces a worse answer, and demanding a rephrase penalises the user for wording.
acceptable-use|4|2|An associate is asked to read a rival's openly published help centre and report what it covers.|Summarise it, since it was published openly to be read|Recognise this as ordinary competitive research|Decline, since competitor material should not be processed|Summarise it only with the competitor's written permission|Summarise it but keep the result out of shared documents|Public documentation is published to be read, and summarising it to understand a market is ordinary research rather than a governance problem.|A blanket refusal treats public material as off-limits, permission is not needed to read what was published, and restricting circulation manages a risk that is not present.
confidentiality|2|2|A supplier agreement carries a confidentiality clause and its key terms need pulling out.|Check what the agreement actually permits first|Recognise that a summary is produced from the text|Proceed, since a summary is not itself a disclosure|Proceed with the customer's name removed first|Proceed and delete the conversation afterwards|An NDA governs where the text may go, and a summary is made from that text, so the agreement is what settles whether the use is inside its terms.|Redacting the name leaves the substance, and deleting afterwards does not undo the processing.
