# d6-05 — governance, risk and responsible use: full ladder set (tier 2/3/4)
acceptable-use|2|An associate is asked to use Claude to generate product reviews for their company's own listing page.|Decline, since the reviews would misrepresent real customer experience|Write them but mark each one as generated by an assistant|Write them and have a colleague verify the claims are accurate|Write them based on genuine feedback the company has received|A review asserts that a customer used the product and formed a view, so generating one misstates its source however the content is arrived at.|A generated label on a listing review still presents it as a review, accuracy does not repair a false source, and real feedback rewritten as a review attributes it to someone who did not write it.
confidentiality|2|An associate wants to summarise a contract that is held under a non-disclosure agreement with a customer.|Check what the agreement permits before putting the text in|Proceed, since a summary is not a disclosure of the contract|Proceed with the customer's name removed from the text first|Proceed and delete the conversation once the summary is done|An NDA governs where the text may go, and the agreement is what settles whether this use sits inside its terms.|A summary is produced from the text, redacting the name leaves the substance, and deleting afterwards does not undo the processing.
disclosure-transparency|2|A team publishes a research brief substantially drafted with Claude and asks whether to say so.|Say so where readers would reasonably expect to know|Say nothing, since the team reviewed and approved the content|Say so only if a reader asks how the brief was produced|Say so in every document regardless of how it was produced|Disclosure is owed where the method would change how a reader weighs the work, and a research brief is such a case.|Review makes the content accountable but not the method visible, disclosure on request puts the burden on the reader, and a blanket statement everywhere loses the signal.
ip-and-attribution|2|An associate uses Claude to help write an article and asks who may be named as its author.|The person responsible for the content and for its accuracy|Claude, since it produced most of the article's wording|Nobody, since authorship is unclear for assisted writing|The team as a whole rather than any one named individual|Authorship attaches to the person who stands behind the work, which is what makes accountability for it meaningful.|A tool is not an author, declining to name anyone removes accountability, and a collective byline obscures who is answerable.
consequential-decisions|2|A hiring manager asks whether Claude can be used to reject applicants automatically.|No — a rejection decision needs a person who is accountable|Yes, provided the criteria used are documented in advance|Yes, provided rejected applicants can ask for a review|Yes, provided the model is checked for bias beforehand|A hiring rejection materially affects a person, so the decision has to rest with someone who can be held to it.|Documented criteria, an appeal route and a bias check are all worth having, but none of them puts a person inside the decision.
privacy-regulation|2|An associate is asked to paste a spreadsheet of customer names and addresses into a conversation.|Ask whether the personal data is needed for the task at all|Paste it, since the task cannot be done without the data|Paste it once the customers have been notified afterwards|Paste it with the addresses removed and the names retained|Data minimisation asks first whether the personal data is needed, because the safest handling of data is not to process it.|Necessity is the thing being assumed, notification after the fact does not authorise it, and half the identifiers is still personal data.
bias-fairness|2|A team notices that a Claude-drafted job advert emphasises traits associated with one group of applicants.|Rewrite the advert around the requirements of the role|Publish it, since the wording came from the role description|Publish it and monitor who applies over the first month|Ask for a version that appeals to a wider range of people|An advert should describe what the role requires, and returning to the requirements is what removes wording that filters applicants.|A source description does not launder the wording, monitoring measures the harm after it occurs, and appeal-broadening changes the framing without fixing the criteria.
accountability|2|An associate sends a Claude-drafted client email that contains an error, and the client complains.|The associate is responsible, since they sent the email|Responsibility is shared between the associate and the tool|The tool is responsible, since it produced the wrong text|Nobody is at fault, since the error was not intentional|Responsibility follows the decision to send, which is a human act regardless of what drafted the text.|A tool cannot bear responsibility, sharing it with a tool is the same error stated softly, and lack of intent does not remove accountability.
data-sensitivity|2|A team wants to know which of their data warrants extra care before it is used with Claude.|Data that would cause harm if it were exposed or misused|Data that is stored in systems marked as internal only|Data that the team has not previously used with any tool|Data that is large enough to be difficult to review fully|Sensitivity is defined by the consequence of exposure, which is what makes the classification useful for deciding handling.|Storage location is a proxy that misses sensitive data held elsewhere, novelty is not a risk property, and volume is a practical concern rather than a sensitivity one.
acceptable-use|2|An associate asks Claude to write a message impersonating a supplier to test a colleague's vigilance.|Decline unless the organisation has authorised such a test|Write it, since the purpose is to improve security awareness|Write it and tell the colleague afterwards that it was a test|Write it but make the impersonation obvious enough to spot|Phishing simulations are legitimate when an organisation runs them under authority, and what makes this one wrong is an individual deceiving a colleague on their own initiative.|A good motive does not create authority, a later reveal comes after the deception, and an easy version is still an unauthorised test.
confidentiality|2|An associate wants to share a Claude conversation that contains a colleague's performance feedback.|Do not share it beyond those already entitled to see it|Share it, since the feedback was written to be acted upon|Share it with the colleague's name replaced by a role title|Share it only with people in the same team as the colleague|Performance feedback stays within the group already entitled to it, and sharing the conversation extends that group.|Being actionable does not widen the audience, a role title in a small team still identifies the person, and team membership is not the same as entitlement.
disclosure-transparency|2|A customer asks whether they are talking to a person or to an assistant in a support chat.|Tell them plainly that they are talking to an assistant|Deflect, since the answer does not affect the help given|Say a person is available if they would prefer to wait|Answer only if the customer asks the question a second time|A direct question about who is answering deserves a direct answer, and concealing it misleads the customer about the exchange.|The quality of help does not settle a question about identity, offering an alternative dodges what was asked, and requiring a repeat is evasion.
