# d7-m1 — Troubleshooting and Optimization, multiple-response
diagnosing-poor-output|7.1|2|2|An associate gets a poor output and wants to work out what to change first.|Read the prompt back to see what it actually asked|Check whether the inputs were what they intended|Change the prompt and see whether things improve|Move to a more capable model group straight away|Ask the model to explain what went wrong for it|Diagnosis starts by establishing what was actually asked and what was actually supplied, because both are cheaper to check than to guess at.|Changing things without a hypothesis tests nothing, a model change is the expensive guess, and a self-explanation is another output rather than a trace.
diagnosing-poor-output|7.1|3|2|An associate changed three things in a prompt at once and the output became worse.|Undo them and then reapply them one at a time|Recognise that the cause is currently unrecoverable|Revert everything and return to the original prompt|Keep the changes and adjust until it improves again|Ask the model which of the three changes hurt it|Simultaneous changes make attribution impossible, so the only route back to a cause is reapplying them singly.|A full revert discards whatever improved, blind adjustment compounds the confusion, and the model cannot see the prompt's history.
diagnosing-poor-output|7.1|4|2|A result looks off and the associate cannot say whether the brief or the output is at fault.|Write down what the task itself actually requires|Check the output against that written statement|Ask the model to explain what task it understood|Ask a colleague whether the output looks about right|Rerun the prompt and compare the two outputs given|Stating the requirement explicitly is what makes it possible to say whether the output meets it, which is otherwise a comparison against an unstated standard.|A model's account of the task is another output, a colleague faces the same ambiguity, and a second run tests stability rather than fit.
prompt-repair|7.1|2|2|A prompt asking for a brief overview returns anything between a paragraph and several pages.|State the length wanted in words or sentences|Replace the relative term with a concrete number|Ask for a short summary rather more emphatically|Trim anything over the intended length by hand|Run it twice and keep the shorter of the results|"Short" is relative and a number is not, so replacing the vague term with a quantity is what removes the variation.|Emphasis does not define a quantity, hand-trimming repairs each output, and picking the shorter of two leaves both undefined.
prompt-repair|7.1|3|2|A prompt demands exhaustive detail and a strict word limit, and the output satisfies neither.|Decide which instruction should take precedence|State that precedence explicitly in the prompt|Restate both instructions more forcefully than before|Put the more important instruction first in the prompt|Split the task into two entirely separate prompts|A contradiction has to be resolved by the author, and stating which rule wins is what tells the model how to resolve it.|Force does not settle a contradiction, ordering is a weak signal of priority, and splitting produces two outputs that still conflict.
prompt-repair|7.1|4|2|A rule added to stop over-long answers has started truncating the ones that need length.|Scope the instruction to the case it was written for|Recognise a broad instruction as firing everywhere|Remove it and accept the original failure returning|Add a second instruction countering the new failure|Keep both failures, since neither one is severe|An instruction that is right in one case and wrong in another is a scoping problem, so narrowing it keeps the fix without the side effect.|Removing it restores the first problem, a counter-instruction builds a stack of interacting rules, and accepting both gives up on a solvable conflict.
context-problems|7.1|2|2|An associate says "the spreadsheet" with three attached and gets an answer about the wrong one.|Name the specific document that is being referred to|Remove the ambiguity rather than diagnosing it|Ask the model which document it actually used|Remove the other documents from the conversation|Repeat the question with rather more emphasis|An ambiguous reference is resolved by naming what is meant, which removes the guess instead of investigating it.|Asking what it used diagnoses without fixing, removing documents loses material the work may need, and emphasis does not disambiguate.
context-problems|7.1|3|2|A long working session starts producing answers that contradict what was agreed earlier.|Restate the agreed points in a fresh conversation|Recognise that early detail has fallen out of reach|Ask the model to re-read the earlier conversation|Correct each contradiction as and when it appears|Ask for a summary before continuing the session|Once earlier detail is out of reach, restating it in a fresh conversation is what puts it back, because nothing can recover what is no longer available.|The model cannot re-read what it cannot see, correcting each contradiction treats symptoms, and a summary of a degraded thread inherits its gaps.
context-problems|7.1|4|2|A Project surfaces the correct file every time and the specifics inside it never appear.|Check whether the detail survived how the file was stored|Recognise correct retrieval as pointing at the document|Add the documents a second time to reinforce them|Ask more specific questions so the detail is requested|Move the key details into the Project's instructions|Correct retrieval with missing detail points at the document itself, so how it was prepared and stored is where the fault lies.|Duplicating documents does not repair their content, specific questions cannot retrieve what is absent, and moving details into instructions works around a broken file.
consistency-issues|7.2|2|2|A weekly report comes back laid out differently each week from an unchanged prompt.|Specify the structure that the answer must follow|Check each output against that specified structure|Ask for the structure to be kept more consistent|Run it several times and pick the best structure|Accept it, since the content is the same each time|Structure that is not specified is chosen afresh each run, so stating it and verifying it is what makes the shape repeatable.|Asking for consistency does not say consistent with what, picking the best repeats the cost, and varying structure breaks anything downstream.
