# d4-m1 — Workflow Integration and Solution Design, multiple-response
# Targets official objectives 4.2 (research, planning, process optimisation) and
# 4.3 (solution design, development, iteration), both previously thin.
research-and-planning|2|2|An associate wants to use Claude to help plan a project rather than to execute its tasks.|Ask it to surface options and their trade-offs|Keep the decision about which option to take itself|Ask it to choose the plan and then follow that plan|Ask for a single recommended plan with no alternatives|Use it only once the plan has already been decided|Planning assistance works by widening the options and making the trade-offs visible, while the choice between them stays a human judgement.|Delegating the choice moves a decision that needs accountability, a single recommendation hides the alternatives, and waiting until after forfeits the help.
research-and-planning|3|2|A team uses Claude for background research before scoping a piece of work.|Ask for sources that can be checked independently|Treat the output as a starting map, not a conclusion|Treat the summary as settled once it reads coherently|Ask for the most comprehensive possible overview|Skip verification, since research output cites sources|Research assistance is valuable for orientation, and its claims still need traceable sources because coherence is not evidence.|Comprehensiveness without a question produces volume, and citations are a starting point for checking rather than a substitute for it.
research-and-planning|4|2|A team asks Claude to optimise a process and gets a plausible redesign they cannot evaluate.|Check the redesign against how the process actually runs|Establish the current baseline before adopting any change|Adopt it, since the reasoning behind it is coherent|Ask for a second redesign and compare the two versions|Adopt it partially and see whether things improve|A proposed optimisation can only be judged against the real process and a measured baseline, without which improvement cannot even be detected.|Coherence is not fit, a second proposal compares two ungrounded designs, and partial adoption changes the process while still unable to measure it.
solution-design|2|2|An associate is using Claude to help design a solution and wants the iteration to be productive.|State the constraints the solution has to satisfy|Revise the design as the constraints become clearer|Ask for a finished design in a single request|Accept the first design, since iterating wastes time|Change several parts at once between each revision|Design work is iterative against constraints, so naming them and revising as they sharpen is what makes each round add something.|One-shot design skips the discovery, refusing to iterate forfeits it, and changing several things at once hides which change helped.
solution-design|3|2|A team is using Claude through several rounds of solution development and losing track of decisions.|Record the decisions separately from the conversation|Restate the settled decisions when starting a new round|Rely on the conversation to hold the earlier decisions|Ask the model to summarise what has been decided so far|Start over whenever the thread becomes hard to follow|Decisions that matter need to live outside the conversation, because a long thread loses its early content and a generated summary inherits that loss.|Relying on the thread is the failure, a self-summary cannot recover what is out of reach, and starting over discards the work.
solution-design|4|2|A team must decide how much of a solution to design with Claude before building anything.|Enough to expose the decisions that are expensive to reverse|Stop where further design stops reducing uncertainty|Design the whole solution in full before any building|Build immediately and let the design emerge as you go|Design until the model stops offering new suggestions|Design earns its cost by reducing uncertainty about irreversible choices, which is what sets both how far to go and when to stop.|Full up-front design over-invests, building with none leaves expensive choices unexamined, and exhausting the model's suggestions is not a stopping rule.
automation-boundaries|2|2|A team is deciding which step of a process to automate first.|A step whose output is already checked downstream|A step whose rules can actually be written down|The step that takes people the longest to perform|The step the team finds the most tedious to do|The step that the fewest people are involved in|The first automation should be one you can specify and one where being wrong is caught anyway, which makes it cheap to learn on.|Duration, tedium and headcount describe the cost of doing the step rather than the cost of getting it wrong.
automation-boundaries|3|2|A step could be automated and any mistake would blend invisibly into correct-looking output.|Automate it only with a way to detect the silent errors|Treat detectability as the condition, not the accuracy|Automate it, since 99% beats what people achieve here|Leave it manual, since silent errors are unacceptable|Automate it and review a sample of outputs each month|A silent error reaches its destination unchallenged, so detection is what makes an accuracy figure safe to rely on.|Comparing to human accuracy ignores that human errors are noisier, a blanket refusal forgoes a strong step, and monthly sampling may never catch a rare silent failure.
automation-boundaries|4|2|A team automates a step and the person who did it now spends the same time checking it.|Compare what the checking costs against the old step|Ask whether the work moved rather than reduced|Accept it, since a person is still involved in the step|Automate the checking as well to free the person|Remove the check, since the automation is working|If checking costs what doing cost, the automation relocated the work instead of reducing it, and only the comparison shows which happened.|Human involvement is not the goal, automating a check produces something else to check, and removing it before knowing its value is premature.
human-in-the-loop|2|2|A team is deciding where to place the single human checkpoint in a workflow.|Immediately before the output has any real effect|Where the reviewer can still change the outcome|At the very end, after every step has finished running|At whichever step the team has capacity to staff|At the start, so the inputs are checked first|A checkpoint exists to stop a bad output doing damage, so it sits at the last moment before effect and only counts if the reviewer can act.|The end may already be past the point of effect, capacity determines staffing rather than placement, and input checks catch a different class of problem.
