# d2-03 — validation under pressure, evidence quality, error handling
verifying-facts|3|An associate is under deadline and a Claude-drafted section contains six claims. They have time to check two of them properly or skim all six.|Check the two claims the argument depends on properly, since a skim confirms nothing|Skim all six so every claim receives at least some level of attention|Check the two claims that would be easiest to verify in the time available|Ask a colleague to skim the section while the associate checks two claims|A skim tests plausibility, which is the property a wrong claim already has. Two real checks on load-bearing claims produce actual knowledge; six skims produce none.|Coverage without depth is the illusion of verification. Choosing by ease optimises for speed rather than risk, and a colleague's skim has the same limitation.
hallucination-detection|3|A team notices that Claude's errors cluster in the parts of its output that are most specific: names, dates, figures and citations.|Focus verification on the specific details, where fabrication concentrates|Focus verification on the general claims, since those carry the argument|Verify specific details and general claims at the same level of effort|Ask Claude to reduce the specificity of its output to lower the error rate|Specificity is where generation has the least support and the most room to construct. Concentrating checks there matches effort to where errors actually live.|General claims are more robust and less checkable. Uniform effort ignores the observed pattern, and reducing specificity removes the useful detail.
sampling-and-evidence|3|An associate wants to compare two approaches. Approach A was used on the ten easiest cases and approach B on the ten hardest, and A performed better.|Note the comparison is confounded by the difference in case difficulty|Conclude approach A performs better and adopt it for future work|Adjust the results to account for the difficulty difference between the case sets|Run approach B on the ten easy cases as well and compare those results|Non-random assignment of cases makes the outcome difference attributable to difficulty rather than approach. Naming the confound is what stops a spurious conclusion.|Adopting A acts on the confound. Adjusting requires a difficulty measure nobody has, and testing B on easy cases is a reasonable next step but does not repair this comparison.
self-evaluation-limits|3|A team asks Claude to check whether its output contains hallucinations. It reports none. Two fabricated details are later found.|Recognise a model cannot detect fabrications it produced|Ask Claude to check more carefully using a stricter definition of hallucination|Ask Claude to check its output in a separate conversation|Accept that self-checking catches most cases and add spot checks for the rest|A fabrication is generated as a confident claim, so nothing distinguishes it internally from a true one. Self-checking is structurally unable to find them.|Stricter definitions do not create the missing signal. A fresh conversation lacks the output's context, and assuming most are caught is unsupported.
quality-criteria|3|An associate has to sign off on Claude-drafted content but is unsure what signing off commits them to.|Establish what the sign-off actually asserts before you agree to take it on here|Sign off, since review has already been performed by another team member|Sign off with a note that the content was drafted with Claude's assistance|Ask Claude what a reviewer should check before signing off on content|Sign-off is an accountability act and its meaning has to be defined. Knowing what you are asserting determines what you have to check first.|Relying on prior review without knowing its scope is unfounded. A tool disclosure does not limit accountability, and asking the model does not settle a governance question.
completeness-gaps|3|A team asks Claude to review a contract for risks. It identifies risks in the clauses present and does not note that a limitation of liability clause is missing.|Ask what should be present and is not, since text review misses absence|Ask for a more thorough review of the contract's clauses and terms|Ask Claude whether the contract is missing any standard clauses|Compare the contract against a template to identify structural omissions|Reviewing what is written cannot find what was never written. Framing the question around expected content is what makes absence detectable.|Thoroughness applies to present text. A yes-or-no follow-up is weaker than the reframed question, and template comparison is sound practice but not the framing lesson here.
numerical-accuracy|3|An associate receives a table from Claude where every row is correct but the rows do not cover the period the analysis claims to address.|Check the scope of the data against the claim being made here|Verify the individual figures more carefully across all of the rows|Ask Claude to extend the table to cover the full period claimed|Adjust the claim to match the period the table actually covers|Correct values within the wrong scope still support a false claim. Checking that the data covers what the analysis asserts is a separate and prior check.|More value checking validates the wrong thing. Extending or restating are fixes that follow the diagnosis rather than replacing it.
review-workflow|3|A team wants to review Claude output but each item takes ten minutes to check properly and they produce forty items a day.|Narrow the task, or sample against a defined level of risk|Ask reviewers to work faster so all forty items can be checked each day|Review the first twenty items each day and leave the rest unchecked|Ask Claude to produce fewer, higher-quality items each day|When the check cannot scale, either the work or the risk posture has to change. Making that an explicit decision is better than letting throughput silently degrade the control.|Speeding up degrades the check. Reviewing by arrival order is arbitrary sampling, and asking for fewer items does not address the ratio.
bias-and-framing|3|An associate asks Claude to evaluate three options and lists them in order of their own preference.|Present the options in a neutral order rather than in your own preference order|Accept the evaluation, since the model assesses each option on its merits|Ask Claude to evaluate the options in reverse order and compare results|Tell Claude to ignore the order in which the options were presented|Presentation order carries information the model uses. Neutralising it is the simple prevention rather than a correction applied afterwards.|Assuming order is ignored is the misconception. Reverse-order comparison detects the effect, and an instruction to ignore a signal already given is unreliable.
verifying-facts|3|A team receives a Claude summary of a webpage. The summary is plausible but the page has changed since the model would have seen it.|Open the page and check its current content against the summary|Accept the summary, since the general content of such pages changes slowly|Ask Claude when it last had information about the page's contents|Ask Claude to summarise the page again to get more current information|Web content changes and generated summaries reflect training data of unknown vintage. Reading the live page is the only way to know what it says now.|Assuming slow change is a guess. Asking about recency produces an unreliable self-report, and a second summary draws on the same stale information.
