# d2-04 — final validation set: applied judgement across evaluation practice
verifying-facts|2.3|3|An associate has a Claude-drafted document with claims about their own industry. They know the industry well and nothing looks wrong.|Verify the specific figures and the named entities, since familiarity alone does not catch them|Accept the document, since an experienced practitioner reviewed it against their knowledge|Ask a more experienced colleague to read the document as a second opinion|Ask Claude to identify which claims in the document are most specific|Domain knowledge catches implausible claims and misses plausible specifics, which is where fabrication lives. Detail-level checks are the complement to expert reading.|Expert plausibility review has a known blind spot for specifics. A second expert shares it, and asking the model to flag specificity is a step toward the right answer without taking it.
quality-criteria|2.4|3|A team's Claude output is consistently accurate but takes longer to produce than expected because prompts need several rounds each time.|Count the prompting rounds in the assessment as part of the overall cost|Accept the process, since accuracy is the property that matters most here|Reduce the number of rounds by accepting slightly lower quality output|Ask Claude to produce better output on the first attempt each time|Value is accuracy relative to total cost, and prompting rounds are part of that cost. Including them is what makes the assessment complete rather than flattering.|Accuracy alone is not value. Trading quality for speed decides before measuring, and instructing the model to be right first time is not a lever.
completeness-gaps|2.1|3|An associate asks Claude for the arguments against a proposal. The list is thorough and every argument concerns implementation rather than the proposal's premise.|Ask about the premise separately from the implementation concerns|Ask for more arguments so premise-level objections eventually appear|Ask Claude to consider objections at every level of the proposal|Accept the list, since implementation objections are the most actionable ones|Objection lists gravitate to implementation because the premise is treated as given by the question. Separating the levels is what surfaces the more fundamental challenge.|Volume extends the same level. A vague instruction about levels does not name them, and treating actionability as sufficient keeps the gap.
review-workflow|2.4|3|A team wants a single reviewer to check accuracy, tone, compliance and formatting on every Claude output.|Split the checks so each reviewer applies criteria they can actually judge|Provide a combined checklist covering all four areas for the single reviewer|Ask the reviewer to prioritise accuracy and treat the other three as secondary|Ask Claude to check tone, compliance and formatting so the reviewer covers accuracy|Different checks need different expertise and different attention. Combining four into one pass produces shallow coverage of all of them.|A combined checklist does not supply missing expertise. Prioritising abandons three checks, and model self-checking is not independent for compliance.
bias-and-framing|2.2|3|An associate asks Claude to evaluate a decision they made six months ago, describing what happened afterwards.|Ask for the evaluation based on what was known at the time, not on how it turned out|Accept the evaluation, since the outcome is relevant evidence about the decision|Ask Claude to evaluate the decision without being told the outcome|Ask for both an outcome-aware and an outcome-blind evaluation|Decision quality is judged on the information available when it was made. Supplying the outcome guarantees the evaluation reads it backwards into the reasoning.|Outcome is evidence about luck as well as judgement. A blinding instruction competes with information already given, and paired evaluations double the work.
numerical-accuracy|2.1|3|A team asks Claude to calculate a figure and receives one. They ask again in a new conversation and receive a slightly different figure.|Compute it yourself, since a deterministic result should not vary at all|Use the first figure, since it was produced before any anchoring could occur|Use the average of the two figures as the best available estimate|Ask a third time and use whichever figure appears twice|Variation on a deterministic calculation means at least one run is wrong and possibly both. The calculation has a single correct answer that is cheap to obtain directly.|Every option that selects among generated figures treats variation as sampling error rather than as evidence of unreliable arithmetic.
self-evaluation-limits|2.4|3|An associate asks Claude to check a document for compliance with a policy they uploaded. It reports compliance and cites the relevant policy sections.|Check that the cited sections really say what the compliance report claims|Accept the report, since it engaged with specific sections of the policy|Ask Claude to explain its reasoning for each compliance determination|Ask Claude to check again focusing on the sections most likely to be breached|A compliance determination involves locating the right section and reading it correctly. Both steps need checking, and citations make that verification possible rather than unnecessary.|Citations enable checking; they are not the check. Explanations and repeat passes share the interpretation that may be wrong.
sampling-and-evidence|2.3|3|A team's Claude workflow has produced correct output on every case they have checked. They have checked the cases where output looked unusual.|Recognise the sample was biased toward cases that already looked wrong|Conclude the workflow is reliable, since every checked case was correct|Continue checking unusual cases, since that is where errors are most likely|Check the same number of cases chosen at random as a comparison|Checking only what looked suspicious and finding it fine says nothing about the outputs that looked fine and were not checked. The sample cannot support a general claim.|Concluding reliability from a biased sample is the error. Continuing the same selection compounds it, and random checking is the fix rather than a comparison.
hallucination-detection|2.2|3|An associate asks Claude a question and receives an answer beginning with a hedge, followed by a confident and specific account.|Verify the specific account that follows, since an opening hedge does not qualify any of it|Treat the whole answer as uncertain because of the hedge at the beginning|Ask Claude to remove the hedge and restate the answer more directly|Accept the specifics, since the hedge shows the model is being appropriately careful|A general hedge does not attach to particular claims, and the specifics carry the same fabrication risk as they would unhedged. They still need checking.|Treating the hedge as covering everything is too coarse. Removing it changes presentation, and reading it as carefulness inverts what it signals.
source-attribution|2.3|3|A team asks Claude to summarise three documents and note where they disagree. It reports no disagreements, and the documents do conflict on one point.|Extract each document's position separately and compare them yourself|Ask Claude to look again specifically for disagreements between the documents|Ask for a longer summary so the disagreement has room to appear|Accept the summary, since the model had all three documents available|Synthesis smooths conflict by construction. Separate extraction preserves each position so the comparison happens on evidence rather than inside a generation pass.|A second synthesis pass has the same tendency. Length does not counteract smoothing, and availability of documents is not the constraint.
